Term,Location or origin,Targets,"Meaning, origin and notes",References
Coconut,"United States, United Kingdom, New Zealand, Australia",South Asians,A brown person of South Asian descent is perceived as fully assimilated into Western culture.,
Coconut,"United States, United Kingdom, New Zealand, Australia",Pacific Islander,,
Coño,Chile,Spanish people,"Used in to refer to Spanish people given the perception that they recurrently use of the vulgar interjection coño (lit. ""cunt"").",
Coolie,"United States, Canada","Asian people, usually Chinese, and Indo-Caribbean people","Unskilled Asian laborer (originally used in the 19th century for Chinese railroad laborers). Possibly from Mandarin ""苦力"" ku li or Hindi kuli, ""day laborer."" Also racial epithet for Indo-Caribbean people, especially in Guyana, Trinidad and Tobago and South African Indians.",
Coon,"United States, Commonwealth",Black people,"Slur popularized by Coon songs played at Minstrel show. Originally associated in the 1830s with the U.S. Whig Party who used a raccoon as their emblem. The Whigs were more tolerant towards blacks than other main parties. After the party folded the term ""coon"" evolved from political slang into a racial slur. Within African American communities, the word has been used to refer to a black person who is allegedly a ""sellout"".",
Coon,Australia,Aboriginal Australian,,
Coon,New Zealand,Pacific Islander,,
"Coonass, Coon-ass",United States,Cajun people,"Not to be confused with the French connasse, meaning cunt.",
Coreano,Chile,Chinese and Japanese people,,
Cracker,United States,"White people, especially poor Appalachian and Southern people",First used in the 19th century. It is sometimes used specifically to refer to a native of Florida or Georgia. Also used in a more general sense in the United States to refer to white people disparagingly.,
Crow,United States,,,
"Crucco (m.), crucca (f.)",Italy,German people,The name was firstly given during the First World War to the troops of the Austro-Hungarian Army of Croatian and Slovenian ethnicity. Later the term was used to indicate the Germans.,
Curepí,Paraguay,Argentines,"A common term used by people from Paraguay for people from Argentina, it means ""pig's skin"".",
Curry-muncher,"Australia, Africa, New Zealand, United States, Canada",South Asian People,,
"Cushi, Kushi (כושי)",Israel,Dark-skinned people,"Term originated from Kushite, referring to an individual from the Ancient Kingdom of Kush. This was also mentioned in the Hebrew Bible generally used to refer to people usually of African descent. Originally merely descriptive, in present-day Israel it increasingly assumed a pejorative connotation and is regarded as insulting by Ethiopian Israelis; and by non-Jewish, Sub-Saharan African migrant workers and asylum seekers in Israel.",
"Czarnuch (m.), czarnucha (f.)",Poland,Black people,,
